name,market,sectors,price_hoping,price_real,inv_comp,stock_amount,stock_fund,exec_company,listing_date,percent_newstock,percent_invest,percent_personal,percent_lock_up,capital,company_size,profit
대신밸런스스팩7호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",대신증권,2019.10.11,"신주모집 : 5,000,000 주 (100%)",(80%),(20%),0.00%,520 (백만원),중소일반,1.25%
유진스팩5호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,500,000 주","7,000 (백만원)",유진증권,2019.10.02,"신주모집 : 3,500,000 주 (100%)",(80%),(20%),0.00%,401 (백만원),중소일반,2.25%
케이비스팩19호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",KB증권,2019.09.30,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,430 (백만원),중소일반,2.25%
올리패스,코스닥,자연과학 및 공학 연구개발업,"37,000 ~ 45,000 원","20,000",11.07:1,"800,000 주","16,000 (백만원)","미래에셋대우,키움증권",2019.09.20,"신주모집 : 800,000 주 (100%)",(80%),(20%),0.40%,"6,937 (백만원)",중소일반,53%
라닉스,코스닥,반도체 제조업,"8,000 ~ 10,500 원","6,000",51.68:1,"1,600,000 주","9,600 (백만원)",한국투자증권,2019.09.18,"신주모집 : 1,600,000 주 (100%)",(80%),(20%),0.00%,"4,717 (백만원)",중소일반,18.33%
하나금융스팩13호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",하나금융투자,2019.09.18,"신주모집 : 3,000,000 주 (100%)",(80%),(20%),0.00%,340 (백만원),중소일반,2%
한독크린텍,코스닥,일반 목적용 기계 제조업,"13,300 ~ 15,100 원","15,100",1117.61:1,"700,000 주","10,570 (백만원)",한국투자증권,2019.09.05,"신주모집 : 700,000 주 (100%)",(80%),(20%),8.77%,"2,010 (백만원)",중소일반,62.25%
상상인이안스팩2호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",540.20:1,"3,250,000 주","6,500 (백만원)",상상인증권,2019.08.30,"신주모집 : 3,250,000 주 (100%)",(80%),(20%),0.00%,385 (백만원),중소일반,7.5%
네오크레마,코스닥,기타 식품 제조업,"10,000 ~ 11,500 원","8,000",96.6:1,"1,550,000 주","12,400 (백만원)",키움증권,2019.08.22,"신주모집 : 1,550,000 주 (100%)",(77.2%),(20%),0.00%,"3,628 (백만원)",중소일반,19.13%
미래에셋대우스팩3호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"6,150,000 주","12,300 (백만원)",미래에셋대우,2019.08.20,"신주모집 : 6,150,000 주 (100%)",(80%),(20%),0.00%,648 (백만원),중소일반,6%
마니커에프앤지,코스닥,"도축, 육류 가공 및 저장 처리업","3,400 ~ 4,000 원","4,000",1056.91:1,"2,600,000 주","10,400 (백만원)",유진투자증권,2019.08.20,"신주모집 : 2,600,000 주 (100%)",(80%),(20%),5.43%,"5,189 (백만원)",중소일반,100%
나노브릭,코스닥,기초 화학물질 제조업,"18,000 ~ 22,000 원","16,000",39.3:1,"456,000 주","7,296 (백만원)",KB증권,2019.08.19,"신주모집 : 456,000 주 (100%)",(75%),(20%),0.00%,"4,560 (백만원)",중소일반,-10%
에스피시스템스,코스닥,특수 목적용 기계 제조업,"4,300 ~ 4,900 원","4,900",1116.32:1,"2,000,000 주","9,800 (백만원)",한국투자증권,2019.08.14,"구주매출 : 640,000 주 (32%)",(70%),(20%),13.68%,814 (백만원),중소일반,100%
레이,코스닥,의료용 기기 제조업,"17,000 ~ 20,000 원","20,000",1013.19 :1,"1,000,000 주","20,000 (백만원)","한국투자증권,DB금융투자",2019.08.08,"신주모집 : 1,000,000 주 (100%)",(60%),(20%),10.27%,"2,811 (백만원)",중소일반,25.75%
그린플러스,코스닥,1차 비철금속 제조업,"8,500 ~ 10,000 원","10,000",863.94:1,"700,000 주","7,000 (백만원)",한국투자증권,2019.08.07,"신주모집 : 700,000 주 (100%)",(70%),(20%),5.85%,"2,324 (백만원)",중소일반,11.5%
코윈테크,코스닥,특수 목적용 기계 제조업,"28,400 ~ 34,500 원","34,500",163.54:1,"2,000,000 주","69,000 (백만원)",미래에셋대우,2019.08.05,"신주모집 : 2,000,000 주 (100%)",(80%),(20%),0.90%,"4,500 (백만원)",중소일반,-10%
덕산테코피아,코스닥,기타 화학제품 제조업,"17,000 ~ 19,000 원","19,000",348.63:1,"4,061,847 주","77,175 (백만원)",NH투자증권,2019.08.02,"구주매출 : 840,670 주 (20.7%)",(73.22%),(20%),7.17%,"9,188 (백만원)",중소일반,-10%
슈프리마아이디,코스닥,전자부품 제조업,"23,000 ~ 27,000 원","27,000",1124.05:1,"864,000 주","23,328 (백만원)",한국투자증권,2019.08.01,"구주매출 : 201,907 주 (23.37%)",(80%),(20%),13.14%,"1,496 (백만원)",중소일반,28.7%
한국바이오젠,코스닥,합성고무 및 플라스틱 물질 제조업,"4,700 ~ 5,700 원","6,000","1,087.6:1","1,784,500 주","10,707 (백만원)",미래에셋대우,2019.08.01,"구주매출 : 362,500 주 (20.31%)",(80%),(20%),0.00%,"1,590 (백만원)",중소일반,100%
세경하이테크,코스닥,기타 전자부품 제조업,"46,000 ~ 52,000 원","35,000",10.71:1,"1,000,000 주","35,000 (백만원)",키움증권,2019.07.30,"신주모집 : 1,000,000 주 (100%)",(75%),(20%),0.00%,"2,812 (백만원)",중소일반,-5%
윌링스,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 &","10,000 ~ 12,500 원","12,500",1082.15:1,"1,382,000 주","17,275 (백만원)",신영증권,2019.07.25,"구주매출 : 414,090 주 (29.96%)",(65%),(20%),18.18%,"2,431 (백만원)",중소일반,82.4%
대모(구.대모엔지니어링),코스닥,특수 목적용 기계 제조업,"4,800 ~ 5,200 원","5,200",1103.1:1,"2,150,000 주","11,180 (백만원)",신한금융투자,2019.07.24,"구주매출 : 450,000 주 (20.93%)",(75%),(20%),15.60%,"4,162 (백만원)",중소일반,67.5%
에이스토리,코스닥,방송 프로그램 제작업,"11,600 ~ 14,300 원","14,300",614.25:1,"1,870,000 주","26,741 (백만원)",NH투자증권,2019.07.19,"신주모집 : 1,870,000 주 (100%)",(80%),(20%),3.56%,"4,659 (백만원)",중소벤쳐,-9.79%
플리토,코스닥,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서&","19,000 ~ 23,000 원","26,000",1133:1,"1,473,486 주","38,311 (백만원)",한국투자증권,2019.07.17,"구주매출 : 473,486 주 (32.13%)",(80%),(20%),22.00%,"2,584 (백만원)",중소일반,21.54%
이베스트이안스팩1호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",이베스트투자증권㈜,2019.07.15,"신주모집 : 3,000,000 주 (100%)",(80%),(20%),0.00%,320 (백만원),중소일반,52%
세틀뱅크,코스닥,기타 정보 서비스업,"44,000 ~ 49,000 원","55,000",1122:1,"1,447,000 주","79,585 (백만원)","한국투자증권,신한금융투자",2019.07.12,"구주매출 : 520,000 주 (35.94%)",(80%),(20%),14.80%,"4,633 (백만원)",중소일반,-10%
아이스크림에듀,코스닥,기타 인쇄물 출판업,"15,900 ~ 18,000 원","15,900",124.73:1,"1,450,000 주","23,055 (백만원)","대신증권,삼성증권",2019.07.11,"신주모집 : 1,450,000 주 (100%)",(73%),(20%),1.34%,"6,352 (백만원)",중소일반,-9.75%
펌텍코리아,코스닥,플라스틱제품 제조업,"240,000 ~ 270,000 원","190,000",5.75:1,"640,000 주","121,600 (백만원)",한국투자증권,2019.07.04,"구주매출 : 620,191 주 (96.9%)",(80%),(20%),0.00%,941 (백만원),중소일반,-10%
에이에프더블류,코스닥,일차전지 및 축전지 제조업,"19,500 ~ 22,500 원","22,500",866.03:1,"3,921,600 주","88,236 (백만원)",NH투자증권,2019.07.01,"구주매출 : 1,857,600 주 (47.37%)",(77.5%),(20%),13.72%,"5,156 (백만원)",중소일반,24.44%
신영스팩5호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,400,000 주","6,800 (백만원)",신영증권,2019.06.24,"신주모집 : 3,400,000 주 (100%)",(80%),(20%),0.00%,350 (백만원),중소일반,100%
케이비스팩18호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"7,500,000 주","15,000 (백만원)",KB증권,2019.06.24,"신주모집 : 7,500,000 주 (100%)",(80%),(20%),0.00%,782 (백만원),중소일반,15%
신한스팩5호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",신한금융투자,2019.06.19,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,431 (백만원),중소일반,93%
압타바이오,코스닥,자연과학 및 공학 연구개발업,"21,000 ~ 25,000 원","30,000",856.41:1,"2,180,000 주","65,400 (백만원)","삼성증권,미래에셋대우",2019.06.12,"신주모집 : 2,180,000 주 (100%)",(76.1%),(20%),35.10%,"5,440 (백만원)",중소일반,67.33%
까스텔바쟉,코스닥,"섬유, 의복, 신발 및 가죽제품 소매업","16,000 ~ 19,000 원","12,000",32.53:1,"2,362,500 주","28,350 (백만원)",NH투자증권㈜,2019.06.10,"구주매출 : 1,687,500 주 (71.43%)",(77%),(20%),3.86%,"3,298 (백만원)",중소일반,41.67%
마이크로디지탈,코스닥,의료용 기기 제조업,"20,000 ~ 23,000 원","23,000",621.48:1,"700,000 주","16,100 (백만원)",하나금융투자,2019.06.05,"신주모집 : 700,000 주 (100%)",(79%),(20%),2.29%,"1,815 (백만원)",중소일반,78.48%
유진스팩4호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,250,000 주","6,500 (백만원)",유진투자증권,2019.05.31,"신주모집 : 3,250,000 주 (100%)",(80%),(20%),0.00%,349 (백만원),중소일반,25%
디비금융스팩7호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",DB금융투자,2019.05.31,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,455 (백만원),중소일반,4%
수젠텍,코스닥,의료용 기기 제조업,"12,000 ~ 14,000 원","12,000",75.21:1,"1,500,000 주","18,000 (백만원)",한국투자증권,2019.05.28,"신주모집 : 1,500,000 주 (100%)",(70%),(20%),3.15%,"6,611 (백만원)",중소일반,-7.08%
컴퍼니케이파트너스,코스닥,기타 금융업,"3,600 ~ 4,000 원","4,500",865.66:1,"4,000,000 주","18,000 (백만원)",NH투자증권,2019.05.23,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),27.80%,"7,805 (백만원)",중소일반,82.22%
엔에이치스팩14호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"8,000,000 주","16,000 (백만원)",NH투자증권,2019.05.08,"신주모집 : 8,000,000 주 (100%)",(80%),(20%),0.00%,862 (백만원),중소일반,5.75%
에스앤케이,코스닥,소프트웨어 개발 및 공급업,"30,800 ~ 40,400 원","40,400",317.30:1,"4,200,000 주","169,680 (백만원)","NH투자증권,미래에셋대우",2019.05.07,"신주모집 : 4,200,000 주 (100%)",(80%),(20%),11.59%,- (백만원),외국기업,-9.9%
한화에스비아이스팩,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,750,000 주","7,500 (백만원)",한화투자증권,2019.05.03,"신주모집 : 3,750,000 주 (100%)",(80%),(20%),0.00%,436 (백만원),중소일반,0.25%
하이스팩4호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",하이투자증권,2019.04.29,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,440 (백만원),중소일반,0.25%
아모그린텍,코스닥,전자부품 제조업,"8,800 ~ 9,900 원","9,900",164.22:1,"4,128,000 주","40,867 (백만원)",삼성증권,2019.03.29,"구주매출 : 826,000 주 (20.01%)",(75%),(20%),3.05%,"8,248 (백만원)",중소일반,4.04%
현대오토에버,거래소,소프트웨어 개발 및 공급업,"40,000 ~ 44,000 원","48,000",797.36:1,"3,510,000 주","168,480 (백만원)","NH투자증권,현대차투자증권,미래에셋대우",2019.03.28,"구주매출 : 3,162,420 주 (90.1%)",(60%),(20%),57.79%,"10,500 (백만원)",중소일반,57.29%
지노믹트리,코스닥,의료용품 및 기타 의약관련제품 제조업,"17,000 ~ 25,000 원","27,000",372:1,"4,000,000 주","108,000 (백만원)",키움증권,2019.03.27,"신주모집 : 4,000,000 주 (100%)",(77%),(20%),22.80%,"9,993 (백만원)",중소일반,9.07%
케이비스팩17호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"5,000,000 주","10,000 (백만원)",KB증권,2019.03.27,"신주모집 : 5,000,000 주 (100%)",(80%),(20%),0.00%,546 (백만원),중소일반,-0.25%
이지케어텍,코스닥,소프트웨어 개발 및 공급업,"10,100 ~ 12,300 원","12,300",1108.03:1,"1,300,000 주","15,990 (백만원)",미래에셋대우,2019.03.22,"신주모집 : 1,300,000 주 (100%)",(68.5%),(20%),40.25%,"3,193 (백만원)",중소일반,100%
유안타스팩4호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,100,000 주","8,200 (백만원)",유안타증권,2019.03.21,"신주모집 : 4,100,000 주 (100%)",(80%),(20%),0.00%,465 (백만원),중소일반,0.25%
미래에셋벤처투자,코스닥,기타 금융업,"3,700 ~ 4,500 원","4,500",441.4:1,"4,500,000 주","20,250 (백만원)","KB증권,대신증권",2019.03.15,"신주모집 : 4,500,000 주 (100%)",(75.6%),(20%),3.70%,"30,667 (백만원)",중소일반,36.67%
드림텍,거래소,전자부품 제조업,"11,000 ~ 13,000 원","13,000",395.96:1,"4,545,546 주","59,092 (백만원)",NH투자증권,2019.03.14,"구주매출 : 2,112,846 주 (46.48%)",(60%),(20%),0.80%,"2,758 (백만원)",중소일반,33.46%
에코프로비엠,코스닥,일차전지 및 축전지 제조업,"37,500 ~ 42,900 원","48,000",988.49:1,"3,000,000 주","144,000 (백만원)","대신증권,SK증권,유안타증권,하나금융투자",2019.03.05,"신주모집 : 3,000,000 주 (100%)",(60%),(20%),45.04%,"9,925 (백만원)",중소일반,27.29%
셀리드,코스닥,자연과학 및 공학 연구개발업,"25,000 ~ 31,000 원","33,000",778.77:1,"1,200,000 주","39,600 (백만원)",삼성증권,2019.02.20,"신주모집 : 1,200,000 주 (100%)",(79.2%),(20%),10.49%,"4,105 (백만원)",중소일반,32.58%
천보,코스닥,기초 화학물질 제조업,"35,000 ~ 40,000 원","40,000",891.1:1,"2,500,000 주","100,000 (백만원)",하나금융투자,2019.02.11,"구주매출 : 500,000 주 (20%)",(70%),(20%),15.80%,"5,000 (백만원)",중소일반,31.25%
이노테라피,코스닥,자연과학 및 공학 연구개발업,"20,200 ~ 25,200 원","18,000",154.44:1,"500,000 주","9,000 (백만원)",대신증권,2019.02.01,"신주모집 : 500,000 주 (100%)",(80%),(20%),2.83%,"2,484 (백만원)",중소일반,23.33%
노랑풍선,코스닥,여행사 및 기타 여행보조 서비스업,"15,500 ~ 19,000 원","20,000",978.43:1,"1,000,000 주","20,000 (백만원)","한국투자증권,KB증권",2019.01.30,"구주매출 : 264,350 주 (26.44%)",(67%),(20%),12.42%,"2,382 (백만원)",중소일반,51.75%
웹케시,코스닥,소프트웨어 개발 및 공급업,"24,000 ~ 26,000 원","26,000",614:1,"970,000 주","25,220 (백만원)","하나금융투자,BNK투자증권",2019.01.25,"신주모집 : 970,000 주 (100%)",(78.5%),(20%),6.80%,"3,381 (백만원)",중소일반,21.92%
에어부산,거래소,항공 여객 운송업,"3,600 ~ 4,000 원","3,600",23.89:1,"5,207,000 주","18,745 (백만원)","NH투자증권,미래에셋대우,BNK투자증권",2018.12.27,"구주매출 : 3,137,000 주 (60.25%)",(60%),(20%),0.40%,"52,070 (백만원)",중소일반,11.67%
비피도,코스닥,기타 식품 제조업,"22,100 ~ 28,700 원","18,000",74.62:1,"410,001 주","7,380 (백만원)",한국투자증권,2018.12.26,"신주모집 : 410,001 주 (100%)",(75.3%),(20%),0.00%,"2,045 (백만원)",중소일반,100%
키움스팩5호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,500,000 주","7,000 (백만원)",키움증권,2018.12.26,"신주모집 : 3,500,000 주 (100%)",(80%),(20%),0.00%,360 (백만원),중소일반,0%
엔에이치스팩13호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",NH투자증권,2018.12.24,"신주모집 : 3,000,000 주 (100%)",(80%),(20%),0.00%,342 (백만원),중소일반,0%
유틸렉스,코스닥,생물학적 제제 제조업,"38,000 ~ 50,000 원","50,000",597.20:1,"727,000 주","36,350 (백만원)",NH투자증권,2018.12.24,"신주모집 : 727,000 주 (100%)",(74%),(20%),18.63%,"3,631 (백만원)",중소일반,20.2%
신영스팩4호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,250,000 주","8,500 (백만원)",신영증권,2018.12.21,"신주모집 : 4,250,000 주 (100%)",(80%),(20%),0.00%,435 (백만원),중소일반,0.25%
미래에셋대우스팩2호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"2,750,000 주","5,500 (백만원)",미래에셋대우,2018.12.21,"신주모집 : 2,750,000 주 (100%)",(80%),(20%),0.00%,305 (백만원),중소일반,0.75%
디케이티,코스닥,전자부품 제조업,"6,000 ~ 7,400 원","7,400",771.42:1,"2,019,400 주","14,944 (백만원)",NH투자증권,2018.12.21,"신주모집 : 2,019,400 주 (100%)",(77.26%),(20%),3.50%,"4,038 (백만원)",중소일반,74.32%
한국스팩8호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,000,000 주","6,000 (백만원)",한국투자증권,2018.12.20,"신주모집 : 3,000,000 주 (100%)",(80%),(20%),0.00%,342 (백만원),중소일반,0.25%
삼성머스트스팩3호,코스닥,NaN,"2,000 ~ 2,000 원","2,000",NaN,"3,750,000 주","7,500 (백만원)","삼성증권,신한금융투자",2018.12.20,"신주모집 : 3,750,000 주 (100%)",(80%),(20%),0.00%,84 (백만원),중소일반,0.25%
위지윅스튜디오,코스닥,"영화, 비디오물, 방송프로그램 제작 및 배급업","9,000 ~ 13,000 원","11,000",177.33:1,"2,199,515 주","24,195 (백만원)","삼성증권,NH투자증권",2018.12.20,"신주모집 : 2,199,515 주 (100%)",(80%),(20%),1.13%,"4,399 (백만원)",중소일반,2.27%
대신밸런스스팩6호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,500,000 주","9,000 (백만원)",대신증권,2018.12.19,"신주모집 : 4,500,000 주 (100%)",(80%),(20%),0.00%,501 (백만원),중소일반,0.25%
에이비엘바이오,코스닥,기초 의약물질 및 생물학적 제제 제조업,"13,000 ~ 17,000 원","15,000",60.08:1,"6,000,000 주","90,000 (백만원)",한국투자증권,2018.12.19,"신주모집 : 6,000,000 주 (100%)",(80%),(20%),10.99%,"22,293 (백만원)",중소일반,-10%
머큐리,코스닥,통신 및 방송 장비 제조업,"5,200 ~ 6,100 원","6,100",749.57:1,"5,120,000 주","31,232 (백만원)",미래에셋대우,2018.12.14,"구주매출 : 2,560,000 주 (50%)",(74%),(20%),13.35%,"7,381 (백만원)",중소일반,57.87%
전진바이오팜,코스닥,기타 화학제품 제조업,"15,000 ~ 17,000 원","10,000",14.69:1,"500,000 주","5,000 (백만원)",미래에셋대우,2018.12.14,"신주모집 : 500,000 주 (100%)",(80%),(20%),27.20%,"2,366 (백만원)",중소일반,15.5%
뉴트리,코스닥,기타 식품 제조업,"14,500 ~ 17,000 원","14,500",28.68:1,"2,262,000 주","32,799 (백만원)",미래에셋대우,2018.12.13,"구주매출 : 452,000 주 (19.98%)",(66.4%),(20%),0.00%,"4,516 (백만원)",중소일반,-10%
골든브릿지이안스팩5호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,250,000 주","8,500 (백만원)",골든브릿지투자증권,2018.12.12,"신주모집 : 4,250,000 주 (100%)",(60%),(40%),0.00%,475 (백만원),중소일반,0%
이노메트리,코스닥,특수 목적용 기계 제조업,"21,000 ~ 25,000 원","26,000",765.22:1,"1,206,277 주","31,363 (백만원)",유진투자증권,2018.12.12,"신주모집 : 1,206,277 주 (100%)",(77%),(20%),11.39%,"2,412 (백만원)",중소일반,53.85%
대유에이피,코스닥,자동차 신품 부품 제조업,"2,600 ~ 3,300 원","3,000",299.23:1,"2,800,000 주","8,400 (백만원)",신영증권,2018.12.07,"신주모집 : 2,800,000 주 (100%)",(70%),(20%),0.00%,"5,442 (백만원)",중소일반,100%
에스케이에이씨피씨스팩4호,코스닥,NaN,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",SK증권,2018.12.07,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,516 (백만원),중소일반,1%
에코캡,코스닥,자동차 부품 및 내장품 판매업,"4,200 ~ 5,200 원","4,200",20.66:1,"4,000,000 주","16,800 (백만원)",IBK투자증권,2018.12.05,"신주모집 : 4,000,000 주 (100%)",(77%),(20%),0.00%,"1,455 (백만원)",중소일반,-2.38%
교보스팩8호,코스닥,기타 금융업,"2,000 ~ 2,000 원","2,000",NaN,"3,100,000 주","6,200 (백만원)",교보증권,2018.12.05,"신주모집 : 3,100,000 주 (100%)",(80%),(20%),0.00%,372 (백만원),중소일반,1%
베스파,코스닥,소프트웨어 개발 및 공급업,"44,800 ~ 59,700 원","35,000",24.81,"1,600,000 주","56,000 (백만원)","미래에셋대우,교보증권",2018.12.03,"신주모집 : 1,600,000 주 (100%)",(80%),(20%),0.00%,"3,993 (백만원)",중소일반,-4.57%
윙입푸드,코스닥,"회사본부, 지주회사 및 경영컨설팅 서비스업","2,000 ~ 3,000 원","2,000",131.15:1,"10,200,000 주","20,400 (백만원)",유진투자증권,2018.11.30,"신주모집 : 10,200,000 주 (100%)",(80%),(20%),0.00%,- (백만원),중소일반,-10%
하나머스트스팩6호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"3,750,000 주","7,500 (백만원)",하나금융투자,2018.11.30,"신주모집 : 3,750,000 주 (100%)",(80%),(20%),0.00%,41 (백만원),중소일반,1%
남화산업,코스닥,스포츠 서비스업,"3,100 ~ 3,700 원","3,700",822.09:1,"3,088,000 주","11,426 (백만원)",대신증권,2018.11.29,"신주모집 : 3,088,000 주 (100%)",(60%),(20%),6.14%,"4,117 (백만원)",중소일반,51.62%
엠아이텍,코스닥,의료용 기기 제조업,"3,900 ~ 4,500 원","4,500",472.57:1,"7,000,000 주","31,500 (백만원)",하나금융투자,2018.11.29,"구주매출 : 3,500,000 주 (50%)",(75.1%),(20%),0.42%,"13,728 (백만원)",중소일반,-10%
티로보틱스,코스닥,특수 목적용 기계 제조업,"16,000 ~ 18,000 원","16,000",56.9 :1,"800,000 주","12,800 (백만원)",키움증권,2018.11.29,"신주모집 : 800,000 주 (100%)",(75%),(20%),0.00%,"2,699 (백만원)",중소일반,-10%
티앤알바이오팹,코스닥,의료용 기기 제조업,"18,000 ~ 23,000 원","18,000",101.9:1,"1,200,000 주","21,600 (백만원)",키움증권,2018.11.28,"신주모집 : 1,200,000 주 (100%)",(80%),(20%),1.00%,"4,059 (백만원)",중소일반,-10%
네오펙트,코스닥,의료용 기기 제조업,"10,000 ~ 12,500 원","11,000",338.01:1,"1,800,000 주","19,800 (백만원)","한국투자증권,삼성증권",2018.11.28,"신주모집 : 1,800,000 주 (100%)",(80%),(20%),0.89%,"5,937 (백만원)",중소일반,-10%
아시아나IDT,거래소,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","19,300 ~ 24,100 원","15,000",7.04:1,"3,300,000 주","49,500 (백만원)",KB증권,2018.11.23,"구주매출 : 2,200,000 주 (66.67%)",(60%),(20%),0.00%,"5,550 (백만원)",중소일반,-4.67%
디알젬,코스닥,의료용 기기 제조업,"5,000 ~ 7,000 원","6,500",785.43:1,"1,500,000 주","9,750 (백만원)",한국투자증권,2018.11.22,"신주모집 : 1,500,000 주 (100%)",(60%),(20%),1.05%,"5,662 (백만원)",중소일반,30.31%
싸이토젠,코스닥,자연과학 및 공학 연구개발업,"13,000 ~ 17,000 원","17,000",608.85:1,"1,200,000 주","20,400 (백만원)",키움증권,2018.11.22,"신주모집 : 1,200,000 주 (100%)",(76%),(20%),0.70%,"2,816 (백만원)",중소일반,4.71%
파멥신,코스닥,의약품 제조업,"43,000 ~ 55,000 원","60,000",764.16:1,"800,000 주","48,000 (백만원)","KB증권,삼성증권",2018.11.21,"신주모집 : 800,000 주 (100%)",(77.67%),(20%),18.81%,"3,402 (백만원)",중소벤쳐,-3.17%
아주IB투자,코스닥,기타 금융업,"2,000 ~ 2,400 원","1,500",40.55:1,"24,400,000 주","36,600 (백만원)","미래에셋대우,대신증권",2018.11.21,"구주매출 : 12,200,000 주 (50%)",(78.3%),(20%),0.00%,"59,357 (백만원)",중소일반,-10%
디케이앤디,코스닥,플라스틱제품 제조업,"5,800 ~ 6,600 원","6,000",256.3:1,"1,800,000 주","10,800 (백만원)",키움증권,2018.11.20,"구주매출 : 640,000 주 (35.56%)",(77.8%),(20%),0.00%,"3,800 (백만원)",중소일반,26.17%
디자인,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 &","9,000 ~ 10,100 원","10,100",771.73 : 1,"397,000 주","4,010 (백만원)",대신증권,2018.11.15,"신주모집 : 397,000 주 (100%)",(80%),(20%),3.86%,"1,330 (백만원)",중소일반,100%
노바렉스,코스닥,자연과학 및 공학 연구개발업,"19,000 ~ 24,000 원","19,000",48.64:1,"960,000 주","18,240 (백만원)",NH투자증권,2018.11.14,"신주모집 : 960,000 주 (100%)",(60%),(20%),18.99%,"4,501 (백만원)",중소일반,33.95%
셀리버리,코스닥,자연과학 및 공학 연구개발업,"20,000 ~ 25,000 원","25,000",698.98:1,"1,140,000 주","28,500 (백만원)",DB금융투자,2018.11.09,"신주모집 : 1,140,000 주 (100%)",(72.68%),(20%),16.80%,"3,806 (백만원)",중소일반,28%
대보마그네틱,코스닥,기타 전기장비 제조업,"22,500 ~ 25,500 원","31,000",995.40:1,"820,000 주","25,420 (백만원)",한국투자증권,2018.11.06,"구주매출 : 220,000 주 (26.83%)",(80%),(20%),45.41%,"1,616 (백만원)",중소일반,94.19%
노바텍,코스닥,기타 제품 제조업,"12,500 ~ 16,500 원","10,000",66.32:1,"1,450,000 주","14,500 (백만원)",하나금융투자,2018.11.02,"구주매출 : 435,000 주 (30%)",(79%),(20%),0.03%,"2,313 (백만원)",중소일반,41%
엘앤씨바이오,코스닥,정형외과용 및 신체보정용 기기 제조업,"18,000 ~ 20,000 원","24,000",937.08:1,"1,000,000 주","24,000 (백만원)","한국투자증권,DB금융투자",2018.11.01,"신주모집 : 1,000,000 주 (100%)",(70%),(20%),17.27%,"3,617 (백만원)",중소일반,24.17%
디비금융스팩6호,코스닥,금융 지원 서비스업,"2,000 ~ 2,000 원","2,000",NaN,"4,000,000 주","8,000 (백만원)",DB금융투자,2018.10.31,"신주모집 : 4,000,000 주 (100%)",(80%),(20%),0.00%,84 (백만원),중소일반,0.5%
옵티팜,코스닥,의료용품 및 기타 의약 관련제품 제조업,"10,000 ~ 12,000 원","10,000",94.57:1,"2,945,890 주","29,459 (백만원)",NH투자증권,2018.10.26,"구주매출 : 745,890 주 (25.32%)",(73.2%),(20%),11.60%,"7,108 (백만원)",중소일반,-10%
